" important for async scenario we must remove context from current thread so we always createnew rpccontext for  next invoke for  same thread	 ",positive
" fixme is re any need of failing back to constantsany value or  first available method invokers when invokers is null 	 ",positive
" todo more configs to add	 ",positive
" bug dubbo provider doesn t have exception output  consumer has timeout error when serialization fails	 ",positive
" fixme re s no place to release connectionexecutor 	 ",positive
" todo refactor it	 ",positive
" todo this may not bepretty elegant solution 	 ",positive
" fixme log error info in codec  put all error hle logic in iohanndler 	 ",positive
" can t shutdown nioeventloopgroup because  method will be invoked when closing one channel but notclient but when  how to close  nioeventloopgroup nioeventloopgroupshutdowngracefully	 ",positive
" fixme is this really necessary propertiesconfiguration should have already covered this see propertiesconfiguration see configutils getpropertystring 	 ",positive
"  resident routers must being initialized before address notification fixme this method should not be public 	 ",positive
" todo re may have duplicate refresh	 ",positive
" fixme replace this with better method	 ",positive
" todo for now we don t consider  differences of encoding  server limit	 ",positive
" fixme check parameterrequiredtrue  any conditions that need to match 	 ",positive
" rmi needs extra parameter since it uses customized remote invocation object  customized remoteinvocation was firstly introduced in v  package was renamed to orgapache since v considering  above two conditions we need to check before sending customized remoteinvocation if  provider version is v or higher send orgapachedubborpcprotocolrmirmiremoteinvocation if  provider version is v or higher send comalibabadubborpcprotocolrmirmiremoteinvocation if  provider version is lower than v does not use customized remoteinvocation 	 ",positive
" todo exist concurrent gap	 ",positive
" todo fixme  thread pool should be used to refresh  address orwise  task may be accumulated	 ",positive
" if re s no dynamic tag rule being set use static tag in url ptypical scenario isconsumer using version x calls providers using version x or lower  consumer should always respect  tag in provider url regardless of wherdynamic tag rule has been set to it or not p todo to guarantee consistent behavior of interoperability between  this method should has  same logic with  tagrouter in x param invokers param url param invocation param t return 	 ",positive
" todo this should not be using  default charset because it s not an input  might introduce flakiness	 ",positive
" todo make this work with pending elements	 ",positive
"  dsl for declaring plugins to inject into an included build todo plugins need to be located in this build s buildsrc since 	 ",positive
" todo some kind of context of why  method was attached eg which plugin declared  rule todo some kind of instance state for  method might be  same as context above	 ",positive
" todo need to track versionimplementation of symbol strip tool	 ",positive
" todo move to baseservices once  progresslogger dependency is removed	 ",positive
" returndummy implementation of this as creatingreal hasher drags more services along with it hasher isn t actually needed on  worker process side at  moment	 ",positive
" re srisk for some methods that  hash is always recomputed but it won t be worse than before	 ",positive
" this isn t quite right should close  worker classpath cache once we re finished with  worker processes this may be before  end of this build or y may be used across multiple builds	 ",positive
" todo needbetter mechanism to wire tasks into lifecycle	 ",positive
" todocedric this is not quite right we assume that if we are asking forspecific binary n we resolve to  assembly instead of  jar but it should be somehow parameterized	 ",positive
" ensure that at most one action that may have access to  mutable state of  build runs atgiven time todo move this tobetter home  reuse	 ",positive
" todoew inject buildoperationidentifierregistry instead of static use	 ",positive
" todohh use managed views for this only applied when  respective language is applied	 ",positive
" todo re has to besimpler way to do this we want to createbuildable filecollection based onfiltered view of selected source directory sets	 ",positive
" passing null for sha todo consider using  etag which is an md hash of  file when less than gb	 ",positive
" todoadam need to do this earlier	 ",positive
" todo exception when no default type	 ",positive
" don t force evaluation of rules here let  task container do what it needs to	 ",positive
" result isscalautileir right isseq of files that were generated left is routes compilation errors todo it might be nice to pass along se errors in some way	 ",positive
" todo deleteonexit won t clean up nonempty directories  it leaks memory for longrunning processes	 ",positive
" metainfo aboutjava component todo this is some legacy stuff to be merged into or component interfaces 	 ",positive
" todo need to track versionimplementation of symbol extraction tool	 ",positive
" todo this should be modeled differently perhaps asdependency on  implementation configuration	 ",positive
" this is not super nice but dependencies are created through reflection for decoration  assumeconstructor with arguments group name version which is suitable for most cases we could create an empty attribute set directly in  abstractdependencyimpl but n it wouldn t be mutable refore we proceed with late injection of  attributes	 ",positive
" todoew consider wher this belongs in console or here	 ",positive
" todo should split this up so that  inputs are attached to an object that represents  binary which is n later used to configure  linkassemble tasks	 ",positive
" we need to wrap this intoloop because re s alwaysrisk that  method which is weakly referenced has been collected in between  creation time  now	 ",positive
" tododaniel should support inbetter way multi file invocation	 ",positive
" it s true right now that this is always coming from  testkit but might not be in  future	 ",positive
" todo don t select again here as  selection is already performed to select  toolchain	 ",positive
" todo include link to documentation giving more explanation of what s going on here	 ",positive
" todo migrate this away from here	 ",positive
" this looks ugly very ugly but that is apparently what ant does itself	 ",positive
" todo should be incremental	 ",positive
" todo this is terrible	 ",positive
" todo this should actually beroutable message withsingle hler but we need some way to correlategiven request withspecific response channel	 ",positive
" todo this is pretty nasty look at avoiding usingtime bomb stub here	 ",positive
" todorbo change  parameter type to transformer string nullable string once we migrate to java 	 ",positive
" todo make this work on windows originalinclose	 ",positive
" todo better exception type	 ",positive
" note this would be better housed inscope that encapsulated  tree of gradle objects	 ",positive
"link orggradleapifileconfigurablefilecollection that can be used astask input property caches  matching set of files during task execution  discards  result after task execution todo disallow furr changes to this collection once task has started todo keep  file entries to snapshot later to avoidstat on each file during snapshot 	 ",positive
" todo this class defaultbuildoperationqueue  executionplan have many of  same behavior  concerns we should look forway to generalize this pattern	 ",positive
" todoinstantexecution remove this	 ",positive
" can only set once should really be part of  constructor can only set once should really be part of  constructor	 ",positive
" this isn t quite right as we may lose precision when converting todouble	 ",positive
" decimalformat is not thread safe synchronize access to  instance	 ",positive
" todo wire this stuff in properly	 ",positive
" todoadam need to cleanup completion too if not used	 ",positive
" todo need to check for proper typecast	 ",positive
" todo should useresolver so that this method is consistent with projecturistring	 ",positive
" todo wolfs schedule fingerprinting separately it can be done without having  project lock	 ",positive
" note don t actually remove this in  deprecation is here to encourage people to use objectfactory instead just remove  overload   nag  leave  method here	 ",positive
" todo consider multithreadingmultiprocess issues teamcity has  concept ofwave of messages where each threadprocess usesunique wave id	 ",positive
" todo reduce duplication with swift binary	 ",positive
" todo move bootclasspath to platform	 ",positive
" todo this should be modeled assource set	 ",positive
" todo  project model should be reachable from projectstate without anor lookup	 ",positive
" todo locate this tool fromtool provider hide main symbol	 ",positive
" todo this prefix shouldn t be hardcoded	 ",positive
" todolptr remove projection for reference node this shouldn t be needed but if re s no actual value referenced model report can only show  type of  node if we do this for now it should use  schema instead to find  type of  property node instead	 ",positive
" todoadam switch  logging back on need to make sending messages from daemon to client async wrt log event generation loggerdebugignoring failure to extract throwable stack trace ignored	 ",positive
" todo need failure hling eg cannot clone repository	 ",positive
" todo this should actually comparesortedset	 ",positive
" todo validate that it svalid model path	 ",positive
"  visual c tools use  path to find or executables todoadam restrict this to  specific path for  target tool	 ",positive
" todopm move this to warn level once we fixed mavenpublish see gradlegradle 	 ",positive
" todoadam this isn t quite right mb i think refers to  first capable classloader loading  class this could be different from  loader which originally loaded it which could pose equality  lifecycle issues	 ",positive
" todocedric this is an approximation whencomponent wants to compile against  assembly oflibrary not  jar n we should give it  stubbed classes instead of  raw classes however re s no such thing asstubbed classes assembly for performance reasons only  classes that belong to  api are stubbed so we would miss  classes that do not belong to  api so this makes  usagekindapi misleading should this be compile 	 ",positive
" an immutable view of  variant ofcomponent todo this should replace or merge into variantresolvemetadata outgoingvariant configurationmetadata 	 ",positive
" because it scapability conflict resolution re is only one cidate per module identifier so we can be lenient wrt  version number used in  descriptor which helps whenever  user used  convenience notation method	 ",positive
" todo improve lookup by reusing availablejavahomes testfixture for now we play it safe  just return false	 ",positive
" todo should decorate	 ",positive
" todo removing this stuff from  store should be hled through some sort of decoration	 ",positive
" todo fix  way we work out which exception is important taskexecutionexception is not always  most helpful	 ",positive
" todo do we need any factories here 	 ",positive
" todohh this should be moved back into languagenative project	 ",positive
" todo make this work with pending elements	 ",positive
" todo ultimately this should be some kind of rd party dependency that s visible to dependency management	 ",positive
" todo se should come from somewhere else probably	 ",positive
" todo this should become smarter  move into  compiler infrastructure instead of  task similar to how  or native languages are done for now this doesrudimentary incremental build analysis by looking at which files changed 	 ",positive
"minimal resolver which does not use any native services used during bootstrap only you should generally use link fileresolver instead todo share more stuff with abstractfileresolver 	 ",positive
"list instance is needed here as orggradleinternalsnapshotvaluesnapshotterprocessvalue does not support serializing iterators directly	 ",positive
" todolptr this should be added only if  scan plugin is applied but snapshottaskinputsoperationintegrationtest todolptr expects it to be added also when  build cache is enabled but not  scan plugin	 ",positive
" todo we should set this for macos but this currently breaks xctest support for swift when swift depends on c libraries built by gradle	 ",positive
" todolptr when we drop java support we can switch to using classloadergetname instead of storing our own	 ",positive
" todo provide an abstraction for accessing resources within  same module mavenmetadata directory listing etc that way we can avoid passing ivypatterns  artifactpatterns around everywhere	 ",positive
" todoinstantexecution remove kotlin predicate after updating  wrapper	 ",positive
" closes  tooling api releasing all resources blocks until completed p may attempt to expire some or all daemons started by this tooling api client  exact behaviour here is implementationspecific  not guaranteed  expiration is best effort only this method may return before  daemons have stopped p p note this is not yet part of  public tooling api yet p todo need to model this aslong running operation  allow stdout stderr  progress listener to be supplied todo need to define exceptions todo no furr operations are allowed after this has been called todo cancel current operations or block until complete todo introducetooling api client interface  move this method re 	 ",positive
" todo ld use something more stable thancast here	 ",positive
" todo make this more intelligent by matching  attributes of  runtime usage on  variant identities	 ",positive
" workaround for backwards compatibility previously this case would unintentionally cause  method to be invoked on  owner continue below	 ",positive
" todo capitalise  target name in  task name todo don t createlaunch target forlibrary	 ",positive
" create binaries for test suites todo this should really becomponentbinaries rule but at this point we have no clue what  concrete binary type is so everything has to be duplicated in specific plugins see usages for example 	 ",positive
" did we already consider it as an output after  previous execution 	 ",positive
" todo to get rid of this we needfunctionalsourceset instance here  that s surprisingly difficult to get	 ",positive
" todo generic model related super exception 	 ",positive
" todo this should work for any build rar than just an included build	 ",positive
" workaround for httpsissuesgradleorgbrowsegradle 	 ",positive
" todo we basically don t support copying custom javadoc options	 ",positive
" todo this exists because we detect all available native tool chains onsystem clang gcc swiftc msvc many of our old tests assume that available tool chains can compile manymost languages so y do not try to restrict  required set of tool chains  swiftc tool chain can build only swift so tests that expect to use  swiftc tool chain properly annotate ir requirements with toolchainrequirementswiftc orversionspecific requirement our multitest runner is smart enough to disable tests that do not meet  test s requirements but since many of  old tests do not have requirements we assume  tests requirec like tool chain gcc clang msvc in  future we want to go back to old tests  annotate m with tool chains requirements	 ",positive
" we don t hle variables at  moment because users didn t request it yet  it would probably push us to add support in  tooling api to retrieve  variable mappings	 ",positive
" todo versionselector should be more descriptive so it can be directly translated	 ",positive
" todolptr should becontentless inputdirectory	 ",positive
" todo needsmarter way to map usage to artifact classifier	 ",positive
" todo once source compatibility is raised to this should be rewritten using  javaniofilesystem api which can deal with jars  folders  same way instead of duplicating code 	 ",positive
" todo better exception	 ",positive
" todo sf this method accepts closure instance as parameter but does not work correctly for it	 ",positive
" todo findbetter way to present this information in  error message attempt to mimic gradle nested exception output	 ",positive
" todo we should really findbetter solution for this maybe we could usefilterreader instead offilterinputstream 	 ",positive
" not fully accurate butsensible fallback see httpstackoverflowcomquestions howdoidetectwherfilesystemiscasesensitive	 ",positive
" todo not sure if we can clean up  generics here  do less unchecked casting	 ",positive
" todo deal with more than one header dir eg generated public headers	 ",positive
" todo projectdependency should be transformed based on defaultproject  or context elsewhere	 ",positive
" todo this will have to be changed when we support setting credentials directly on  auntication	 ",positive
" todo this is an approximation as we know swift currently supports only bit runtimes eventually we ll want to query for this	 ",positive
" todo  async work tracker should wait for children of an operation to finish first it should not be necessary to call it here	 ",positive
" todo reduce duplication with c binary	 ",positive
" todo this should be more specific to just  tasks that create  class files 	 ",positive
" todo we aren t considering  filter	 ",positive
" sendendofline this isworkaround to convince  console that  cursor is at  start of  line to avoid indenting  next line of text that is displayed it would be better for  console to listen for stuff read from stdin that would also be echoed to  output  update its state based on this	 ",positive
" todo exception when type cannot be created	 ",positive
" todo bind with  sourcecompatibility property todo link to runtime configuration 	 ",positive
" we track this as an input since  scala compiler output may depend on it todo this should be replaced byproperty in  scala toolchain as soon as we model se	 ",positive
" todolptr instead of  first view property we should figure out se parameters from  actual property	 ",positive
" todo dsl documentation 	 ",positive
" todo we can probably now support more versions with strictly but we ll need more test coverage	 ",positive
" todo move this to objectfactory	 ",positive
" re are some exceptions attached to  suite let s make sure y are reported to  user this may happen for example when suite initialisation fails  no tests are executed	 ",positive
" todo doesstatic library have runtime elements 	 ",positive
" todolptr this ignores changes to projectbuilddir after model node has been created	 ",positive
" todolptr remove projection for reference node this shouldn t be needed but if re s no actual value referenced model report can only show  type of  node if we do this for now it should use  schema instead to find	 ",positive
" todo what if this errors 	 ",positive
" todoinstantexecution remove this	 ",positive
" todo remove this special case	 ",positive
" need to move those implicit jvm args that containspace to  gradle commline if possible note that this isn t strictly correct as some system properties can only be set on jvm start up should change  implementation to deal with se properly	 ",positive
" doesn t really make sense	 ",positive
" typeonly model reference of type s s is ambiguous as multiple model elements are available for this type n s created by s n s created by s	 ",positive
" todo exceptions thrown here should point to some extensive documentation on  concept of class rule sources	 ",positive
" sf this isworkaround until this story is completed i m hardcoding setting  idle timeout to be max x mins this way we avoid potential runaway daemons that steal resources on linux  break builds on windows	 ",positive
" todo move this tobase plugin setup  dependency on  main binary this should all be replaced bysingle dependency that points at some testable variants of  main binary	 ",positive
" todo should we support this addsvoid propnameobject value method that simply delegates to  converting setter method	 ",positive
" todo sendmessage to workers to change ir log level rar than stopping	 ",positive
" todo this should also be using  decorating instantiator but cannot for backwards compatibility	 ",positive
" todo visit  contents of this collection instead this is justsuper simple implementation for now	 ",positive
" todo we should get rid of this reflection will need to reimplement  parser to act on  metadata directly	 ",positive
" todo do we want to keep using sourcedirectoryset in  new api would feel more natural if dirs could be added directly to languagesourceset could also think about extending sourcedirectoryset	 ",positive
" todolptr this should be removed once binarycontainer ismodelmap we need to also implement all  interfaces of  delegate type because orwise binarycontainer won t recognize managed binaries as binaryspecinternal	 ",positive
" todo stream serialised value to file todo hle hash collisions properly this time todo don t store null links to child blocks in leaf index blocks todo align block boundaries todo thread safety control todo merge small values intosingle data block todo discard when file corrupt todo include data directly in index entry when serializer can guarantee small fixed sized data todo free list leaks disk space todo merge adjacent free blocks todo use more efficient lookup for free block with nearest size	 ",positive
" this isworkaround for httpsissuesgradleorgbrowsegradle somehow  arraylist result in orgsonatypeaerimplinternalutils sortmetadatageneratorfactories ends up beinglist of nulls on windows  ibm s jdk	 ",positive
" todo binaries aren t an input to this rule y re an input to  action	 ",positive
" specifies how to build  where to placenative executable file p todohh resolve naming conflict with existing nativeexecutablespec p 	 ",positive
" this should be replaced by some stronger modelling  made open rar than hardcodingset of source languages here	 ",positive
" we moved  api back into internal so this isn t really correct	 ",positive
" todo refactor this action out so it can be unit tested	 ",positive
" todo error if re are unknowns 	 ",positive
" todoadam usinguuid means we createclassloader hierarchy for each daemon process we talk to instead use  spec to decide wher to reuseclassloader	 ",positive
" todo should supply  check for  same parameters as passed to reservenewclient	 ",positive
" todo should use  install task for an executable	 ",positive
" implement this if you need to specify individual toolchains via orggradleintegtestversions	 ",positive
" todo annotate as required	 ",positive
" todo cc cannot enable this assertion because modulesource is not serialized so doesn t appear in  deserialized form assert metadataequalsforceread	 ",positive
" todo an excluderule isvalue object but we don t enforce immutability for defaultexcluderule as strong as we should we expose  map we should providebetter api for excluderule i don t want to use unmodifiable map as soon as defaultexcluderule is truly immutable we don t need to createnew instance of defaultexcluderule	 ",positive
" production code should hle se exceptions more gracefully	 ",positive
" todo this isn t quite right	 ",positive
"  isempty check is not required might look innocent but guava s performance bad for an empty immutable list because it still creates an inner class for an iterator which delegates to an array iterator which does nothing so just adding this check hassignificant impact because most components do not declare any capability	 ",positive
" todo we are relying on  registration having established se links we should be checking	 ",positive
" todo sf add quotes to both formats re will be lots of tests failing so i m not sure if it is worth it	 ",positive
" todoew consider wher this belongs in buildprogressarea or here	 ",positive
" todo it would be better if se were added viaseparate managed view rar than hard coded	 ",positive
" shouldn t really be here currently this goal is used by link bindallreferences which also expects  subject to be bound	 ",positive
" this doesn t work it used to because at  bottom of  hierarchy chain  object implemented methodmissing however our normal decorated classes do not do this so it is not realistic	 ",positive
" todo this returns  wrong public type for domain objects created with  eager apis or added directly to  container this can leak internal types we do not currently keep track of  type used when creatingdomain object via create or  type of  container whendomain object is added directly via add	 ",positive
" todolptr what happens when  property has multiple accessors in  same role but with different type 	 ",positive
" todo should not be ignoring dependency attribute modifications after resolve	 ",positive
" todo this should becontainer of platforms	 ",positive
" todo hack to avoid classloading issues we should use orggradleutiltextutil currently we can t use it reliably because it causes cnf issues with cross version integration tests running against tooling api 	 ",positive
" todo else verify that  build definition is  same	 ",positive
" todo make this lazy	 ",positive
" todo should this take object 	 ",positive
" used by  kotlindsl base plugin todo remove this	 ",positive
" todo sources is not actual an input to binaries it s an input to each binary	 ",positive
" todo mix in groovy support using bytecode decoration instead todo validate closure parameters to check y are within bounds	 ",positive
" todo this class attempts to mimic  behavior of  output of mvn helpeffectivepom instead of this class we should walk  maven project object model instead of parsing  xml 	 ",positive
" we havename foobar  an import foofoo this means foobar is possibly foofoobar rar than foobar this means to cut at  dot in foobar  foo for import 	 ",positive
" todo remove this once  above is removed	 ",positive
" this isworkaround for httpsgithubcomgradlegradleprivateissues 	 ",positive
" todo only here because kotlin dsl uses this please remove once that is fixed 	 ",positive
" hold  lock while creating  connection not generally good form in this instance blocks or threads from creating  connection at  same time	 ",positive
" currently retains strong references to types that are not loaded usingvisitableurlclassloader this is fine for jvm types butproblem whencustom classloader is used which should probably be deprecated instead of supported	 ",positive
" we might fail hard here on  assumption that something weird happened to  daemon however since we haven t yet started running  build we can recover by just trying again	 ",positive
" todo improve configuration of reports	 ",positive
" todo fix tests that rely on this being set before we process arguments like this	 ",positive
" todo turn into set 	 ",positive
" re spotential problem here in that disconnectableinputstream reads from input in  background this won t automatically stop when  process is over refore if input is not closed n this thread will run forever it would be better to ensure that this thread stops when  process does 	 ",positive
" todo need to dobetter job of routing messages when re are multiple endpoints this is just going to forward all queued messages to  first waiting endpoint even if re are multiple waiting to do work	 ",positive
" create test suite component todo reuse logic from swiftplugin todo component name  extension name aren t  same todo should use srcxctestswift as  convention add  test suite  extension	 ",positive
" do not use this it s here because some of  services this type needs are not easily accessed in certain cases  will be removed ay some point use one of  or methods instead	 ",positive
" todo should validate that clazz is ofnon parameterized type	 ",positive
" workaround for when  task is given an input file that doesn t exist	 ",positive
" todo figure out how to get rid of origin scope id in snapshot outputs step	 ",positive
" get rid of  ivy token as are not valid uri characters	 ",positive
" todo remove this property once configuration can hle normal file system dependencies	 ",positive
" this piece of ugliness copies  jaxp ie xml api provider if any from  system classloader here s why when looking forprovider jaxp looks forservice resource in  context classloader which is our isolated classloader if our classpath above does not containprovider this returns null if it does containprovider jaxp extracts  classname from  service resource if not found jaxp looks forservice resource in  system classloader this happens to include all  application classes specified on  classpath if  application classpath does not containprovider this returns null if it does containprovider jaxp extracts  implementation classname from  service resource if not found jaxp usesdefault classname jaxp attempts to load  provider using  context classloader which is our isolated classloader this is fine if  classname came from step or it blows up if  classname came from step so asworkaround locate  make visible xml parser classes from  system classloader in our isolated classloader note that in practise this is only triggered when running in our tests	 ",positive
" todo will be implemented without hardcoded access to gradle user homegradleproperties for in 	 ",positive
" todo this hardcodes  assumption ofcompile configuration on  external module instead we should be creating an api configuration for each resolved module	 ",positive
" this islegacy quirk scans use this to determine that progress logging is indicating startfinish of tasks this can be removed in gradle along with  concept oflogging category of an operation	 ",positive
" see  comment in taskcompleted above for why this is here  why this isproblem	 ",positive
" todo cc  special casing of virtual platform should go away if we can implement disambiguation of variants forsingle component	 ",positive
" todo this should actually extend from  api dependencies but since swift currently requires all dependencies to be treated like api dependencies with transitivity we just use  implementation dependencies here see httpsbugsswiftorgbrowsesr 	 ",positive
" todo replace this with jvmassembly once that type is public	 ",positive
" this is not very nice might be good enough until we get rid of resolvedconfiguration  friends avoid traversing  graph causing  full resolveddependency graph to be loaded for  most typical scenario	 ",positive
" not implemented not yet required please implement if required	 ",positive
" todo extract  nonfilesystem parts of  filesystemchangewaiter intoseparate interface this isn t really tied to file system watching we just need anor type of waiter	 ",positive
" todo this class sources gradle metadata files but re s no corresponding modulecomponentresolvemetadata for this metadata yet because of this we will generate an empty instance eirivy or maven based on  repository type 	 ",positive
" todo this isn t correct assumes thatside effect is to add  element	 ",positive
" todo classes should belittle more tied to  classesdirs forsourceset so every plugin doesn t need to do this	 ",positive
" this is really not cool but we cannot rely on readattributes because it will throw an exception if  file is missing which is really incredibly slow just to determine iffile exists or not	 ",positive
" todo use twirl library instead 	 ",positive
" do not use this constructor directly it s only re for backwards compatibility with  nebula plugin	 ",positive
" groovy does something very strange here for some reason probably because  class is java it won t employ any dynamism even implementing invokemethod at  java level has no effect	 ",positive
" todo we should see if we can go back to using httpclient again this implementation is borrowed from  apache httpclient project httpsgithubcomapachehttpclientblob httpclientsrcmainjavaorgapachehttpconnsslsslsocketfactoryjava l l 	 ",positive
" todo change to set 	 ",positive
" tododaniel should support inbetter way multi file invocation override this method to have multi file invocation	 ",positive
" todo refactor this task configuration to extendcopy task  use replace tokens	 ",positive
" todoreuse refactor after removing reuse this is horrendously bad we need to set  platform before  defaults rules of nativebinaryrules assign  toolchain we can t just assign  toolchain here because  initializer would be closing over  toolchain which is not reusable  this breaks model reuse so here we are just closing over  safely reusable things  n using proper dependencies for  tool chain registry unfortunately we can t do it in  create action because that would fire after defaults rules we have to usedefaults rule to assign  tool chain because it needs to be re in user mutate rules or at least  file locations do so that y can be tweaked ld 	 ",positive
" check enum equality without checking loading classloader re isslight risk that two versions of  same enum class are compared that s why classloaders are used in equality checks but checking both name  ordinal should make this very unlikely	 ",positive
" todo version could be different from main artifact s version	 ",positive
" should really beparameter to  withcontent methods or baked into  accessor	 ",positive
" todo error messages todo display names for this container   provider implementations	 ",positive
" not subtypes as we don t know wher y are immutable or not	 ",positive
" todo this check should really be done in  compiler process	 ",positive
" forced dependencies are only supported for enforced platforms so it is currently hardcoded should we want to add this asfirst class concept to gradle metadata n it should be available on  component variant metadata as well	 ",positive
" todo remove this attempt to guess packaging from artifacts packaging should come from component or be explicitly set	 ",positive
" was it created during execution 	 ",positive
" todo deprecate  eventually prevent se mutations when already resolved	 ",positive
" todo this doesn t quite guarantee immutability because  source may be holding closures that are doing god knows what	 ",positive
" todo get rid of destinationdirectory entirely  replace it withcollection of link outputs	 ",positive
" todo migrate this to  worker api once  filesystem  fileoperations services can be injected	 ",positive
" todolptr have  paths of  projects serve as input maybe 	 ",positive
" this could be hled just not implemented yet	 ",positive
" todo wrong using  full classpath of  application	 ",positive
" this is not very beautiful but at some point we will get rid of archiveoutputstreamfactory in favor of  writable resource	 ",positive
" this if isbit cheesy but letter classname surely meansgeneric type   warning will be useless	 ",positive
" creates an instance of  given task type without invoking its constructors this is used to recreatetask instance from  instant execution cache todoinstantexecution review this 	 ",positive
" todo this selection should happen per target platform	 ",positive
" todo resolve  javaplatform  scalaplatform from ir platformresolvers rar than instantiating directly	 ",positive
" todo should include some context on what  rule was trying to do create vs mutate	 ",positive
" todo get this from somewhere else 	 ",positive
" this is here to trigger creation of  shutdowncoordinator could do this innicer way	 ",positive
" todopm move this to runasbuildoperationbuildactionrunner when buildoperationworkerregistry scope is changed	 ",positive
